Year,Temperature
1890,7.4
1891,7.0
1892,6.9
1893,10.2
1894,8.2
1895,8.0
1896,8.9
1897,8.2
1898,8.1
1899,8.1
1900,7.7
1901,7.8
1902,7.4
1903,8.1
1904,7.8
1905,7.9
1906,7.8
1907,7.4
1908,7.6
1909,7.3
1910,7.9
1911,8.8
1912,8.9
1913,8.3
1914,9.0
1915,7.5
1916,7.4
1917,6.9
1918,8.6
1919,7.1
1920,8.7
1921,8.9
1922,7.6
1923,7.4
1924,7.7
1925,8.1
1926,8.4
1927,8.2
1928,8.4
1929,8.1
1930,8.0
1931,7.7
1932,7.9
1933,8.7
1934,8.6
1935,8.2
1936,8.1
1937,7.8
1938,9.1
1939,8.5
1940,8.1
1941,7.5
1942,8.5
1943,9.3
1944,9.0
1945,10.1
1946,8.4
1947,7.5
1948,9.4
1949,9.1
1950,8.4
1951,7.4
1952,8.5
1953,8.8
1954,7.9
1955,7.1
1956,8.1
1957,9.5
1958,7.9
1959,9.0
1960,8.4
1961,9.2
1962,6.8
1963,7.6
1964,8.5
1965,7.8
1966,8.1
1967,8.4
1968,8.1
1969,7.3
1970,7.8
1971,8.3
1972,8.1
1973,7.9
1974,8.4
1975,7.9
1976,8.4
1977,7.8
1978,7.7
1979,7.2
1980,8.4
1981,8.0
1982,8.8
1983,7.9
1984,7.9
1985,7.7
1986,7.1
1987,8.2
1988,8.5
1989,9.1
1990,9.4
1991,8.4
1992,10.0
1993,8.6
1994,8.8
1995,8.4
1996,7.4
1997,9.5
1998,9.3
1999,9.9
2000,8.7
2001,8.4
2002,9.4
2003,9.5
2004,9.2
2005,8.9
2006,8.8
2007,10.3
2008,8.8
2009,9.2
2010,8.0
2011,10.4
2012,8.1
2013,6.0
2014,10.2
2015,8.7
2016,8.9
2017,10.4
2018,8.6
2019,9.2
2020,10.0
2021,8.3
2022,10.1
2023,9.1
2024,10.7
2025,10.9
