CITY,ORDERS_COUNT,AVG_DELIVERY_TIME_MINUTES,ORDERS_LATE_PERCENTAGE,DATE,DAY_NAME,POPULATION,ORDERS_PER_1K,AVG_DELIVERY_TIME_PER_1K,ORDERS_LATE_PER_1K,AVG_DELIVERY_TIME_PER_ORDER,ORDERS_LATE_PER_ORDER
Athens,46783,34.2,8.19,2025-03-03,Monday,643452,72.70627801296756,0.05315081777661738,0.012728222151768895,0.0007310347775901503,0.00017506359147553596
Athens,49698,35.8,10.14,2025-03-04,Tuesday,643452,77.23653046381082,0.055637405742774905,0.015758751235523397,0.0007203509195541067,0.00020403235542677776
Athens,52679,33.9,7.67,2025-03-05,Wednesday,643452,81.86935466825808,0.052684582532962834,0.011920081062767696,0.0006435201883103324,0.00014559881546726398
Athens,54131,37.1,11.05,2025-03-06,Thursday,643452,84.12593324754606,0.05765775846527791,0.017172998141275497,0.0006853743695848959,0.00020413441466073047
Athens,58916,38.4,11.83,2025-03-07,Friday,643452,91.56238538383593,0.05967811118778091,0.018385209774777297,0.0006517754090569624,0.00020079435127978818
Athens,64812,40.0,14.56,2025-03-08,Saturday,643452,100.72546203912647,0.06216469915393845,0.022627950492033592,0.0006171696599395174,0.00022464975621798433
Athens,61765,38.8,13.65,2025-03-09,Sunday,643452,95.9900660810752,0.06029975817932028,0.021213703586281496,0.0006281874848215008,0.00022099894762405895
Athens,51557,38.0,12.74,2025-03-10,Monday,643452,80.1256348569901,0.059056464196241526,0.019799456680529397,0.000737048315456679,0.0002471051457610024
Athens,53801,39.4,14.17,2025-03-11,Tuesday,643452,83.61307447952605,0.06123222866662936,0.022021844675282693,0.0007323283953829854,0.00026337800412631733
Athens,56353,39.7,14.95,2025-03-12,Wednesday,643452,87.57918228554733,0.06169846391028392,0.023234056308784494,0.0007044877823718347,0.0002652919986513584
Athens,58058,40.9,15.99,2025-03-13,Thursday,643452,90.22895258698395,0.06356340488490206,0.02485033848678689,0.0007044679458472562,0.0002754142409314823
Athens,62832,41.6,17.68,2025-03-14,Friday,643452,97.64830943100651,0.06465128712009599,0.027476797026040792,0.0006620830150241915,0.0002813852813852814
Athens,68849,41.3,19.37,2025-03-15,Saturday,643452,106.9994343012377,0.06418505187644144,0.030103255565294692,0.0005998634693314354,0.00028134032447820596
Athens,65824,40.8,17.16,2025-03-16,Sunday,643452,102.2982289277211,0.0634079931370172,0.026668655937039595,0.0006198347107438016,0.0002606951871657754
Piraeus,16875,33.6,7.54,2025-03-03,Monday,168151,100.35622743843331,0.19982039952185832,0.04484064917841702,0.001991111111111111,0.0004468148148148148
Piraeus,17568,35.1,9.23,2025-03-04,Tuesday,168151,104.47752317857164,0.20874095307194132,0.05489113951151049,0.001997950819672131,0.0005253870673952642
Piraeus,18162,32.9,6.89,2025-03-05,Wednesday,168151,108.01006238440449,0.19565747453181961,0.04097507597338107,0.001811474507212862,0.00037936350622178174
Piraeus,18765,36.1,10.4,2025-03-06,Thursday,168151,111.59612491153786,0.2146879887719966,0.061849171280575196,0.0019237942978950174,0.0005542232880362377
Piraeus,20259,37.5,11.31,2025-03-07,Friday,168151,120.48099624742048,0.22301383875207403,0.06726097376762552,0.0018510291722197542,0.0005582703983414779
Piraeus,21951,39.1,13.78,2025-03-08,Saturday,168151,130.54338065191408,0.23252909587216253,0.08195015194676214,0.0017812400346225686,0.0006277618331738873
Piraeus,20934,37.7,12.87,2025-03-09,Sunday,168151,124.49524534495781,0.22420324589208512,0.0765383494597118,0.0018008980605713194,0.0006147893379191745
Piraeus,18567,37.3,11.96,2025-03-10,Monday,168151,110.4186118429269,0.22182443161206294,0.07112654697266148,0.0020089405935261482,0.000644153605859859
Piraeus,19332,38.6,13.39,2025-03-11,Tuesday,168151,114.9680941534692,0.22955557802213486,0.07963080802374056,0.001996689426857025,0.0006926339747568798
Piraeus,19935,39.1,14.17,2025-03-12,Wednesday,168151,118.55415668060256,0.23252909587216253,0.0842694958697837,0.0019613744670178078,0.0007108101329320291
Piraeus,20601,40.2,15.21,2025-03-13,Thursday,168151,122.51488245683939,0.23907083514222338,0.09045441299784124,0.0019513615843891074,0.0007383136740934907
Piraeus,22185,40.9,16.9,2025-03-14,Friday,168151,131.934987005727,0.24323376013226208,0.10050490333093469,0.0018435880099166102,0.0007617759747577191
Piraeus,23859,40.7,18.59,2025-03-15,Saturday,168151,141.8903247676196,0.24204435299225102,0.11055539366402817,0.0017058552328261872,0.0007791609036422315
Piraeus,22842,40.4,16.51,2025-03-16,Sunday,168151,135.84218946066335,0.24026024228223442,0.09818555940791314,0.001768671745031083,0.0007227913492688907
Thessaloniki,28288,32.8,5.33,2025-03-03,Monday,319045,88.66460844081556,0.10280681408578726,0.016706107288940432,0.001159502262443439,0.00018841911764705882
Thessaloniki,29886,34.3,7.15,2025-03-04,Tuesday,319045,93.67330627340971,0.10750834521775925,0.022410631729066436,0.0011476945727096298,0.00023924245466104533
Thessaloniki,31110,32.0,4.94,2025-03-05,Wednesday,319045,97.50975567709884,0.10029933081540222,0.015483709194627717,0.0010286081645773063,0.0001587913854066217
Thessaloniki,32232,35.3,8.19,2025-03-06,Thursday,319045,101.02650096381389,0.11064269930574056,0.025670359980567003,0.0010951849094068006,0.0002540953090096798
Thessaloniki,34850,36.6,9.1,2025-03-07,Friday,319045,109.23223996614898,0.11471735962011628,0.028522622200630003,0.0010502152080344334,0.00026111908177905307
Thessaloniki,37808,38.2,11.57,2025-03-08,Saturday,319045,118.50365935839771,0.11973232616088642,0.03626447679794386,0.0010103681760473973,0.0003060198899703766
Thessaloniki,36312,37.0,10.66,2025-03-09,Sunday,319045,113.81466564277765,0.11597110125530882,0.033412214577880864,0.0010189469046045384,0.0002935668649482265
Thessaloniki,31110,36.5,9.75,2025-03-10,Monday,319045,97.50975567709884,0.11440392421131815,0.03055995235781786,0.0011732561877209901,0.000313404050144648
Thessaloniki,32708,37.8,11.18,2025-03-11,Tuesday,319045,102.51845350969299,0.11847858452569386,0.03504207870363115,0.0011556805674452731,0.00034181240063593
Thessaloniki,33932,38.3,11.96,2025-03-12,Wednesday,319045,106.35490291338212,0.12004576156968452,0.037486874892256584,0.001128728044323942,0.00035246964517269836
Thessaloniki,35190,39.4,13.0,2025-03-13,Thursday,319045,110.29792035606262,0.12349355106646397,0.04074660314375715,0.0011196362603012218,0.0003694231315714692
Thessaloniki,38012,40.2,14.69,2025-03-14,Friday,319045,119.14306759234591,0.12600103433684906,0.046043661552445575,0.0010575607702830686,0.0003864569083447332
Thessaloniki,40970,39.9,16.38,2025-03-15,Saturday,319045,128.41448698459465,0.12506072811045463,0.051340719961134006,0.000973883329265316,0.0003998047351720771
Thessaloniki,39474,39.6,14.17,2025-03-16,Sunday,319045,123.7254932689746,0.12412042188406024,0.044413797426695295,0.0010031919744642043,0.00035897046156964076
Kalamaria,3270,33.1,6.09,2025-03-03,Monday,92248,35.44792299020033,0.3588153672708352,0.06601769144046483,0.010122324159021407,0.0018623853211009174
Kalamaria,3445,34.7,7.78,2025-03-04,Tuesday,92248,37.344983089064264,0.37615991674616256,0.08433787182377937,0.01007256894049347,0.002258345428156749
Kalamaria,3590,32.3,5.57,2025-03-05,Wednesday,92248,38.916832885265805,0.35014309253317144,0.06038071286098344,0.008997214484679664,0.001551532033426184
Kalamaria,3725,35.6,8.83,2025-03-06,Thursday,92248,40.380279247246555,0.3859162258260342,0.09572023241696297,0.009557046979865771,0.002370469798657718
Kalamaria,4025,37.0,9.74,2025-03-07,Friday,92248,43.63238227387044,0.4010927066169456,0.10558494493105543,0.009192546583850932,0.0024198757763975154
Kalamaria,4360,38.5,12.2,2025-03-08,Saturday,92248,47.263897320267105,0.41735322175006506,0.13225218974937125,0.008830275229357799,0.002798165137614679
Kalamaria,4190,37.3,11.29,2025-03-09,Sunday,92248,45.42103893851357,0.4043448096435695,0.1223874772352788,0.008902147971360382,0.002694510739856802
Kalamaria,3595,36.9,10.38,2025-03-10,Monday,92248,38.97103460237621,0.40000867227473763,0.11252276472118637,0.010264255910987482,0.002887343532684284
Kalamaria,3770,38.2,11.8,2025-03-11,Tuesday,92248,40.86809470124014,0.4141011187234412,0.1279160523805394,0.010132625994694961,0.003129973474801061
Kalamaria,3915,38.6,12.59,2025-03-12,Wednesday,92248,42.43994449744168,0.418437256092273,0.13647992368398232,0.009859514687100895,0.003215836526181354
Kalamaria,4060,39.7,13.65,2025-03-13,Thursday,92248,44.01179429364322,0.43036163385656057,0.14797068771138672,0.00977832512315271,0.0033620689655172414
Kalamaria,4390,40.5,15.33,2025-03-14,Friday,92248,47.58910762292949,0.43903390859422425,0.16618246466048045,0.009225512528473805,0.003492027334851936
Kalamaria,4725,40.3,17.02,2025-03-15,Saturday,92248,51.22062266932616,0.4368658399098083,0.184502645043795,0.008529100529100529,0.003602116402116402
Kalamaria,4555,39.9,14.82,2025-03-16,Sunday,92248,49.37776428757263,0.4325297025409765,0.16065388951521986,0.0087596048298573,0.0032535675082327113
Heraklion,4510,32.5,4.55,2025-03-03,Monday,149501,30.167022294165257,0.21738985023511548,0.030434579032916166,0.007206208425720621,0.0010088691796008868
Heraklion,4785,34.0,6.23,2025-03-04,Tuesday,149501,32.00647487307777,0.22742322793827466,0.04167196206045445,0.007105538140020898,0.0013019853709508884
